FR,TR,Name,REP,START,END,TIM,EN
1200.0,8,18,3,1405168770.700725542,1405168806.524896180,35.824170638,3706.496774
1200.0,8,18,4,1405168809.034419196,1405168845.417307717,36.382888521,3724.578892
1200.0,8,18,5,1405168846.888112031,1405168880.153246197,33.265134166,3413.529475
1200.0,8,18,6,1405168882.626663040,1405168917.860127179,35.233464139,3635.369604
1200.0,8,18,7,1405168918.525049098,1405168952.522386556,33.997337458,3494.041516
1200.0,8,18,8,1405168954.996647582,1405168987.465600232,32.468952650,3349.147993
1200.0,8,22,1,1405169226.494891288,1405169235.480951917,8.986060629,911.825734
1200.0,8,22,2,1405169237.002520577,1405169245.744870700,8.742350123,887.167873
1200.0,8,22,3,1405169246.427102127,1405169255.179348355,8.752246228,885.668499
1200.0,8,22,4,1405169256.715591827,1405169265.181840600,8.466248773,857.659228
1200.0,8,22,5,1405169266.667860126,1405169275.719962061,9.052101935,912.340533
1200.0,8,22,6,1405169276.416634842,1405169285.375352226,8.958717384,901.467602
1200.0,8,22,7,1405169286.907307241,1405169294.435181932,7.527874691,753.393406
1200.0,8,22,8,1405169296.910036926,1405169305.480771730,8.570734804,870.254943
1200.0,32,11,1,1405170542.795529380,1405170543.658478763,0.862949383,104.517281
1200.0,32,11,2,1405170544.320423756,1405170545.232739725,0.912315969,108.910819
1200.0,32,11,3,1405170546.697466893,1405170547.513781151,0.816314258,97.256606
1200.0,32,11,4,1405170548.977082916,1405170549.909687796,0.932604880,110.186355
1200.0,32,11,5,1405170550.573530494,1405170551.373136575,0.799606081,96.297993
1200.0,32,11,6,1405170552.838194481,1405170553.510727421,0.672532940,78.808144
1200.0,32,11,7,1405170554.976566109,1405170555.676388064,0.699821955,82.036567
1200.0,32,11,8,1405170556.335647535,1405170557.076586124,0.740938589,89.367214
1200.0,32,18,1,1405171496.706255689,1405171536.094355305,39.388099616,4202.205661
1200.0,32,18,2,1405171536.763420529,1405171570.745161579,33.981741050,3659.34789
1200.0,32,18,3,1405171573.255579527,1405171604.531221622,31.275642095,3270.502624
1200.0,32,18,4,1405171607.007321725,1405171640.304194314,33.296872589,3484.711246
1200.0,32,18,5,1405171642.796322484,1405171675.261137329,32.464814845,3396.857909
1200.0,32,18,6,1405171676.770094422,1405171708.966538458,32.196444036,3381.539999
1200.0,32,18,7,1405171710.468535115,1405171738.228325390,27.759790275,2919.616073
1200.0,32,18,8,1405171740.703525229,1405171771.179858936,30.476333707,3174.705887
1200.0,32,22,1,1405171950.595391793,1405171959.110116263,8.514724470,870.277958
1200.0,32,22,2,1405171960.576993754,1405171969.328297846,8.751304092,895.267768
1200.0,32,22,3,1405171970.794775682,1405171978.680270584,7.885494902,798.839658
1200.0,32,22,4,1405171981.189631004,1405171990.179526119,8.989895115,910.840258
1200.0,32,22,5,1405171992.651253395,1405172001.153318816,8.502065421,870.65289
1200.0,32,22,6,1405172002.657333269,1405172011.315371019,8.658037750,882.503775
1200.0,32,22,7,1405172012.821378618,1405172020.792326260,7.970947642,805.979182
1200.0,32,22,8,1405172022.259380067,1405172030.424020712,8.164640645,831.950109
1200.0,4,11,1,1405173780.994585638,1405173783.281654331,2.287068693,234.708839
1200.0,4,11,2,1405173784.744487571,1405173786.789888481,2.045400910,210.953147
1200.0,4,11,3,1405173788.264008717,1405173790.041624133,1.777615416,182.79939
1200.0,4,11,4,1405173790.708195460,1405173792.459653097,1.751457637,178.851764
1200.0,4,11,5,1405173794.935208925,1405173796.587135472,1.651926547,169.55416
1200.0,4,11,6,1405173799.058982662,1405173801.137269301,2.078286639,213.081935
1200.0,4,11,7,1405173802.603194939,1405173804.762405896,2.159210957,221.196157
1200.0,4,11,8,1405173807.229029672,1405173809.033585573,1.804555901,186.217735
1200.0,4,18,1,1405174870.355727378,1405174912.785393049,42.429665671,4263.478259
1200.0,4,18,2,1405174914.278254342,1405174959.638587200,45.360332858,4561.070404
1200.0,4,18,3,1405174960.344368717,1405175005.175413208,44.831044491,4510.12559
1200.0,4,18,4,1405175006.649142799,1405175053.100452142,46.451309343,4663.996571
1200.0,4,18,5,1405175054.570969533,1405175098.714746248,44.143776715,4418.988671
1200.0,4,18,6,1405175101.191784557,1405175143.445034225,42.253249668,4257.263424
1200.0,4,18,7,1405175144.913822018,1405175188.997220840,44.083398822,4426.36206
1200.0,4,18,8,1405175190.512222149,1405175236.507036307,45.994814158,4616.643418
1200.0,4,22,1,1405175590.681274871,1405175601.429149904,10.747875033,1076.485422
1200.0,4,22,2,1405175602.897581430,1405175613.829077681,10.931496251,1090.839315
1200.0,4,22,3,1405175614.491870904,1405175624.902772353,10.410901449,1038.698382
1200.0,4,22,4,1405175626.370572469,1405175637.050525864,10.679953395,1065.582583
1200.0,4,22,5,1405175638.554522103,1405175649.802591081,11.248068978,1124.956404
1200.0,4,22,6,1405175650.464876834,1405175661.018636186,10.553759352,1051.707449
1200.0,4,22,7,1405175662.487338945,1405175672.964099156,10.476760211,1038.77509
1200.0,4,22,8,1405175674.465923935,1405175685.191246793,10.725322858,1069.489136
1200.0,2,11,1,1405178269.010835627,1405178272.183948313,3.173112686,311.716342
1200.0,2,11,2,1405178274.652588879,1405178278.421249148,3.768660269,371.264944
1200.0,2,11,3,1405178280.892049398,1405178284.390766665,3.498717267,345.059976
